,match_id,inning,batting_team,bowling_team,over,ball,batsman,non_striker,bowler,is_super_over,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,batsman_runs,extra_runs,total_runs,player_dismissed,dismissal_kind,fielder
122712,518,1,Mumbai Indians,Kolkata Knight Riders,1,1,RG Sharma,AJ Finch,UT Yadav,0,0,0,0,0,0,0,0,0,,,
122713,518,1,Mumbai Indians,Kolkata Knight Riders,1,2,RG Sharma,AJ Finch,UT Yadav,0,0,0,0,0,0,1,0,1,,,
122714,518,1,Mumbai Indians,Kolkata Knight Riders,1,3,AJ Finch,RG Sharma,UT Yadav,0,0,0,0,0,0,1,0,1,,,
122715,518,1,Mumbai Indians,Kolkata Knight Riders,1,4,RG Sharma,AJ Finch,UT Yadav,0,0,0,0,0,0,1,0,1,,,
122716,518,1,Mumbai Indians,Kolkata Knight Riders,1,5,AJ Finch,RG Sharma,UT Yadav,0,0,0,1,0,0,0,1,1,,,
122717,518,1,Mumbai Indians,Kolkata Knight Riders,1,6,RG Sharma,AJ Finch,UT Yadav,0,0,0,0,0,0,0,0,0,,,
122718,518,1,Mumbai Indians,Kolkata Knight Riders,2,1,AJ Finch,RG Sharma,M Morkel,0,0,0,0,0,0,4,0,4,,,
122719,518,1,Mumbai Indians,Kolkata Knight Riders,2,2,AJ Finch,RG Sharma,M Morkel,0,0,0,0,0,0,0,0,0,,,
122720,518,1,Mumbai Indians,Kolkata Knight Riders,2,3,AJ Finch,RG Sharma,M Morkel,0,0,0,0,0,0,0,0,0,AJ Finch,caught,UT Yadav
122721,518,1,Mumbai Indians,Kolkata Knight Riders,2,4,RG Sharma,AP Tare,M Morkel,0,0,0,0,0,0,0,0,0,,,
122722,518,1,Mumbai Indians,Kolkata Knight Riders,2,5,RG Sharma,AP Tare,M Morkel,0,0,0,0,0,0,0,0,0,,,
122723,518,1,Mumbai Indians,Kolkata Knight Riders,2,6,RG Sharma,AP Tare,M Morkel,0,0,0,0,0,0,1,0,1,,,
122724,518,1,Mumbai Indians,Kolkata Knight Riders,3,1,RG Sharma,AP Tare,UT Yadav,0,0,0,0,0,0,4,0,4,,,
122725,518,1,Mumbai Indians,Kolkata Knight Riders,3,2,RG Sharma,AP Tare,UT Yadav,0,0,0,0,0,0,0,0,0,,,
122726,518,1,Mumbai Indians,Kolkata Knight Riders,3,3,RG Sharma,AP Tare,UT Yadav,0,0,0,0,0,0,0,0,0,,,
122727,518,1,Mumbai Indians,Kolkata Knight Riders,3,4,RG Sharma,AP Tare,UT Yadav,0,0,0,0,0,0,4,0,4,,,
122728,518,1,Mumbai Indians,Kolkata Knight Riders,3,5,RG Sharma,AP Tare,UT Yadav,0,0,0,0,0,0,0,0,0,,,
122729,518,1,Mumbai Indians,Kolkata Knight Riders,3,6,RG Sharma,AP Tare,UT Yadav,0,0,0,0,0,0,4,0,4,,,
122730,518,1,Mumbai Indians,Kolkata Knight Riders,4,1,AP Tare,RG Sharma,M Morkel,0,0,0,0,0,0,0,0,0,,,
122731,518,1,Mumbai Indians,Kolkata Knight Riders,4,2,AP Tare,RG Sharma,M Morkel,0,0,0,0,0,0,4,0,4,,,
122732,518,1,Mumbai Indians,Kolkata Knight Riders,4,3,AP Tare,RG Sharma,M Morkel,0,0,0,0,0,0,1,0,1,,,
122733,518,1,Mumbai Indians,Kolkata Knight Riders,4,4,RG Sharma,AP Tare,M Morkel,0,0,0,0,0,0,0,0,0,,,
122734,518,1,Mumbai Indians,Kolkata Knight Riders,4,5,RG Sharma,AP Tare,M Morkel,0,0,0,0,0,0,1,0,1,,,
122735,518,1,Mumbai Indians,Kolkata Knight Riders,4,6,AP Tare,RG Sharma,M Morkel,0,0,0,0,0,0,1,0,1,,,
122736,518,1,Mumbai Indians,Kolkata Knight Riders,5,1,AP Tare,RG Sharma,Shakib Al Hasan,0,0,0,0,0,0,1,0,1,,,
122737,518,1,Mumbai Indians,Kolkata Knight Riders,5,2,RG Sharma,AP Tare,Shakib Al Hasan,0,0,0,0,0,0,0,0,0,,,
122738,518,1,Mumbai Indians,Kolkata Knight Riders,5,3,RG Sharma,AP Tare,Shakib Al Hasan,0,0,0,0,0,0,6,0,6,,,
122739,518,1,Mumbai Indians,Kolkata Knight Riders,5,4,RG Sharma,AP Tare,Shakib Al Hasan,0,0,0,0,0,0,1,0,1,,,
122740,518,1,Mumbai Indians,Kolkata Knight Riders,5,5,AP Tare,RG Sharma,Shakib Al Hasan,0,0,0,0,0,0,0,0,0,,,
122741,518,1,Mumbai Indians,Kolkata Knight Riders,5,6,AP Tare,RG Sharma,Shakib Al Hasan,0,1,0,0,0,0,0,1,1,,,
122742,518,1,Mumbai Indians,Kolkata Knight Riders,5,7,AP Tare,RG Sharma,Shakib Al Hasan,0,0,0,0,0,0,0,0,0,AP Tare,caught,UT Yadav
122743,518,1,Mumbai Indians,Kolkata Knight Riders,6,1,AT Rayudu,RG Sharma,M Morkel,0,0,0,0,0,0,0,0,0,,,
122744,518,1,Mumbai Indians,Kolkata Knight Riders,6,2,AT Rayudu,RG Sharma,M Morkel,0,0,0,0,0,0,0,0,0,AT Rayudu,caught,YK Pathan
122745,518,1,Mumbai Indians,Kolkata Knight Riders,6,3,CJ Anderson,RG Sharma,M Morkel,0,0,0,0,0,0,0,0,0,,,
122746,518,1,Mumbai Indians,Kolkata Knight Riders,6,4,CJ Anderson,RG Sharma,M Morkel,0,0,0,0,0,0,0,0,0,,,
122747,518,1,Mumbai Indians,Kolkata Knight Riders,6,5,CJ Anderson,RG Sharma,M Morkel,0,0,0,0,0,0,0,0,0,,,
122748,518,1,Mumbai Indians,Kolkata Knight Riders,6,6,CJ Anderson,RG Sharma,M Morkel,0,0,0,0,0,0,0,0,0,,,
122749,518,1,Mumbai Indians,Kolkata Knight Riders,7,1,RG Sharma,CJ Anderson,SP Narine,0,0,0,0,0,0,4,0,4,,,
122750,518,1,Mumbai Indians,Kolkata Knight Riders,7,2,RG Sharma,CJ Anderson,SP Narine,0,0,0,0,0,0,0,0,0,,,
122751,518,1,Mumbai Indians,Kolkata Knight Riders,7,3,RG Sharma,CJ Anderson,SP Narine,0,0,0,0,0,0,0,0,0,,,
122752,518,1,Mumbai Indians,Kolkata Knight Riders,7,4,RG Sharma,CJ Anderson,SP Narine,0,0,0,0,0,0,1,0,1,,,
122753,518,1,Mumbai Indians,Kolkata Knight Riders,7,5,CJ Anderson,RG Sharma,SP Narine,0,0,0,0,0,0,0,0,0,,,
122754,518,1,Mumbai Indians,Kolkata Knight Riders,7,6,CJ Anderson,RG Sharma,SP Narine,0,0,0,0,0,0,0,0,0,,,
122755,518,1,Mumbai Indians,Kolkata Knight Riders,8,1,RG Sharma,CJ Anderson,M Morkel,0,0,0,0,0,0,1,0,1,,,
122756,518,1,Mumbai Indians,Kolkata Knight Riders,8,2,CJ Anderson,RG Sharma,M Morkel,0,0,0,0,0,0,0,0,0,,,
122757,518,1,Mumbai Indians,Kolkata Knight Riders,8,3,CJ Anderson,RG Sharma,M Morkel,0,0,0,0,0,0,0,0,0,,,
122758,518,1,Mumbai Indians,Kolkata Knight Riders,8,4,CJ Anderson,RG Sharma,M Morkel,0,0,0,0,0,0,4,0,4,,,
122759,518,1,Mumbai Indians,Kolkata Knight Riders,8,5,CJ Anderson,RG Sharma,M Morkel,0,0,0,0,0,0,0,0,0,,,
122760,518,1,Mumbai Indians,Kolkata Knight Riders,8,6,CJ Anderson,RG Sharma,M Morkel,0,0,0,0,0,0,1,0,1,,,
122761,518,1,Mumbai Indians,Kolkata Knight Riders,9,1,CJ Anderson,RG Sharma,SP Narine,0,0,0,0,0,0,1,0,1,,,
122762,518,1,Mumbai Indians,Kolkata Knight Riders,9,2,RG Sharma,CJ Anderson,SP Narine,0,0,0,0,0,0,0,0,0,,,
122763,518,1,Mumbai Indians,Kolkata Knight Riders,9,3,RG Sharma,CJ Anderson,SP Narine,0,0,0,0,0,0,0,0,0,,,
122764,518,1,Mumbai Indians,Kolkata Knight Riders,9,4,RG Sharma,CJ Anderson,SP Narine,0,0,0,0,0,0,0,0,0,,,
122765,518,1,Mumbai Indians,Kolkata Knight Riders,9,5,RG Sharma,CJ Anderson,SP Narine,0,0,0,0,0,0,4,0,4,,,
122766,518,1,Mumbai Indians,Kolkata Knight Riders,9,6,RG Sharma,CJ Anderson,SP Narine,0,0,0,0,0,0,1,0,1,,,
122767,518,1,Mumbai Indians,Kolkata Knight Riders,10,1,RG Sharma,CJ Anderson,AD Russell,0,0,0,0,0,0,0,0,0,,,
122768,518,1,Mumbai Indians,Kolkata Knight Riders,10,2,RG Sharma,CJ Anderson,AD Russell,0,0,0,0,0,0,0,0,0,,,
122769,518,1,Mumbai Indians,Kolkata Knight Riders,10,3,RG Sharma,CJ Anderson,AD Russell,0,0,0,0,0,0,1,0,1,,,
122770,518,1,Mumbai Indians,Kolkata Knight Riders,10,4,CJ Anderson,RG Sharma,AD Russell,0,0,0,0,0,0,0,0,0,,,
122771,518,1,Mumbai Indians,Kolkata Knight Riders,10,5,CJ Anderson,RG Sharma,AD Russell,0,0,0,0,0,0,1,0,1,,,
122772,518,1,Mumbai Indians,Kolkata Knight Riders,10,6,RG Sharma,CJ Anderson,AD Russell,0,0,0,0,0,0,1,0,1,,,
122773,518,1,Mumbai Indians,Kolkata Knight Riders,11,1,RG Sharma,CJ Anderson,PP Chawla,0,0,0,0,0,0,2,0,2,,,
122774,518,1,Mumbai Indians,Kolkata Knight Riders,11,2,RG Sharma,CJ Anderson,PP Chawla,0,0,0,0,0,0,1,0,1,,,
122775,518,1,Mumbai Indians,Kolkata Knight Riders,11,3,CJ Anderson,RG Sharma,PP Chawla,0,0,0,0,0,0,0,0,0,,,
122776,518,1,Mumbai Indians,Kolkata Knight Riders,11,4,CJ Anderson,RG Sharma,PP Chawla,0,0,0,0,0,0,1,0,1,,,
122777,518,1,Mumbai Indians,Kolkata Knight Riders,11,5,RG Sharma,CJ Anderson,PP Chawla,0,0,0,0,0,0,1,0,1,,,
122778,518,1,Mumbai Indians,Kolkata Knight Riders,11,6,CJ Anderson,RG Sharma,PP Chawla,0,0,0,0,0,0,4,0,4,,,
122779,518,1,Mumbai Indians,Kolkata Knight Riders,12,1,RG Sharma,CJ Anderson,AD Russell,0,0,0,0,0,0,1,0,1,,,
122780,518,1,Mumbai Indians,Kolkata Knight Riders,12,2,CJ Anderson,RG Sharma,AD Russell,0,0,0,0,0,0,0,0,0,,,
122781,518,1,Mumbai Indians,Kolkata Knight Riders,12,3,CJ Anderson,RG Sharma,AD Russell,0,0,0,0,0,0,0,0,0,,,
122782,518,1,Mumbai Indians,Kolkata Knight Riders,12,4,CJ Anderson,RG Sharma,AD Russell,0,0,0,0,0,0,1,0,1,,,
122783,518,1,Mumbai Indians,Kolkata Knight Riders,12,5,RG Sharma,CJ Anderson,AD Russell,0,0,0,0,0,0,1,0,1,,,
122784,518,1,Mumbai Indians,Kolkata Knight Riders,12,6,CJ Anderson,RG Sharma,AD Russell,0,0,0,0,0,0,0,0,0,,,
122785,518,1,Mumbai Indians,Kolkata Knight Riders,13,1,RG Sharma,CJ Anderson,PP Chawla,0,0,0,0,0,0,0,0,0,,,
122786,518,1,Mumbai Indians,Kolkata Knight Riders,13,2,RG Sharma,CJ Anderson,PP Chawla,0,0,0,0,0,0,1,0,1,,,
